"Frequency (Hz)","Absolute Amplitude (a.u.)"
9.360351562E2,3.034369656E0
9.375000000E2,3.888465423E0
9.389648438E2,2.408899409E0
9.404296875E2,4.473700723E0
9.418945312E2,4.591721948E0
9.433593750E2,2.182545278E0
9.448242188E2,4.202143322E0
9.462890625E2,3.935277198E0
9.477539062E2,2.232419388E0
9.492187500E2,4.103653423E0
9.506835938E2,4.361908154E0
9.521484375E2,3.828255870E0
9.536132812E2,2.299114821E0
9.550781250E2,5.167461716E0
9.565429688E2,7.787590040E0
9.580078125E2,5.133497354E0
9.594726562E2,5.174711373E0
9.609375000E2,5.608329824E0
9.624023438E2,4.372995811E0
9.638671875E2,3.861837705E0
9.653320312E2,7.449090738E0
9.667968750E2,1.735577628E0
9.682617188E2,6.652884298E0
9.697265625E2,8.223726618E0
9.711914062E2,5.566186537E0
9.726562500E2,3.293068155E0
9.741210938E2,2.938187832E0
9.755859375E2,2.189409652E0
9.770507812E2,4.164008461E0
9.785156250E2,3.316530234E0
9.799804688E2,9.236465531E-1
9.814453125E2,2.375810250E0
9.829101562E2,7.698893892E0
9.843750000E2,8.872133847E0
9.858398438E2,6.131033396E0
9.873046875E2,1.197584532E1
9.887695312E2,2.171902493E0
9.902343750E2,4.679734471E0
9.916992188E2,3.151897558E0
9.931640625E2,5.358951730E0
9.946289062E2,3.130881630E0
9.960937500E2,5.398506450E0
9.975585938E2,4.153761706E0
9.990234375E2,6.674006075E0
1.000488281E3,3.818605264E0
1.001953125E3,6.490707867E0
1.003417969E3,1.090063092E1
1.004882812E3,1.150107090E1
1.006347656E3,4.967273736E0
1.007812500E3,5.872290602E0
1.009277344E3,1.042391263E1
1.010742188E3,1.508246012E0
1.012207031E3,5.351413099E0
1.013671875E3,4.217957155E0
1.015136719E3,5.507065312E0
1.016601562E3,2.147173910E0
1.018066406E3,4.263481928E0
1.019531250E3,2.453579571E0
1.020996094E3,2.033825315E0
1.022460938E3,7.517449619E-1
1.023925781E3,3.181143347E0
1.025390625E3,2.972687427E0
1.026855469E3,5.518854636E0
1.028320312E3,5.682302291E0
1.029785156E3,1.372233074E0
1.031250000E3,5.924674624E0
1.032714844E3,2.457820163E0
1.034179688E3,4.390388963E0
1.035644531E3,7.713678709E0
1.037109375E3,6.482250361E0
1.038574219E3,2.564589810E0
1.040039062E3,1.237486743E0
1.041503906E3,6.039674518E0
